Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1	Expression 2	Expression 3	Expression 4	Expression 5	Expression 6	Expression 7	Expression 8	Expression 9	Expression 10	Expression 11	Expression 12	Expression 13	Expression 14	Expression 15	Expression 16
1415410	1415410	1412810		-	recE	b1350	"Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease"	2	2	2	1	1	1	2	1	2	2	46	9	39	19	51	59
1415861	1415787	1415512	1415437	-	racC	b1351	Rac prophage; predicted protein	1	1	0	0	0	0	3	1	0	1	32	16	22	24	56	69
	1416032	1415862	1415862	-	ydaE	b4526	Rac prophage; conserved protein	0	1	0	1	0	0	3	1	1	1	77	11	19	25	66	79
1416358	1416253	1416032		-	kilR	b1352	"Rac prophage; inhibitor of ftsZ, killing protein"	1	0	0	0	1	0	3	1	0	1	59	14	18	23	51	63
1416675	1416695	1417183	1417305	+	sieB	b1353	Rac prophage; phage superinfection exclusion protein	4	4	10	7	8	6	4	10	5	8	33	19	28	31	55	64
1417345	1417335	1417180	1417121	-	ydaF	b4527	Rac prophage; predicted protein	5	5	8	3	5	3	3	6	3	5	45	19	31	23	54	62
1417524	1417480	1417346	1417346	-	ydaG	b1355	Rac prophage; predicted protein	9	8	15	8	15	5	8	11	6	6	32	17	25	24	67	78
1418317	1418265	1417789	1417762	-	racR	b1356	Rac prophage; predicted DNA-binding transcriptional regulator	89	88	133	125	139	106	79	155	102	91	193	236	124	235	194	140
	1418389	1418685		+	ydaS	b1357	Rac prophage; predicted DNA-binding transcriptional regulator	4	3	5	5	6	5	4	1	4	3	18	31	12	36	37	31
1418708	1418708	1419130	1419130	+	ydaT	b1358	Rac prophage; predicted protein	1	1	1	2	3	1	0	1	0	1	19	17	16	17	34	35
1419131	1419143	1420000	1420006	+	ydaU	b1359	Rac prophage; conserved protein	2	2	1	2	2	2	1	1	2	0	27	9	23	15	44	50
	1420007	1420753		+	ydaV	b1360	Rac prophage; predicted DNA replication protein	1	1	1	1	1	0	0	0	2	1	41	9	33	13	37	37
1421424	1421424	1421609	1421615	+	rzoR	b4528	Rac prophage; predicted lipoprotein	2	3	4	2	3	2	4	4	2	5	27	23	14	21	45	48
1421770	1421806	1423263	1423348	+	trkG	b1363	Rac prophage; potassium transporter subunit	43	42	57	60	84	110	60	81	85	74	88	76	63	77	110	123
1423389	1423401	1423664	1423680	+	ynaK	b1365	Rac prophage; conserved protein	5	5	4	3	11	16	2	10	12	7	30	19	20	19	52	48
1426750	1426750	1425770	1425770	-	insH	b1370	IS5 transposase and trans-activator	14	16	11	14	18	21	19	18	18	16	38	19	40	35	36	40
1426999	1427073	1430435		+	stfR	b1372	Rac prophage; predicted tail fiber protein	1	1	1	1	1	1	1	1	1	1	24	8	23	12	39	41
	1430435	1431010	1431077	+	tfaR	b1373	Rac prophage; predicted tail fiber assembly protein	3	2	2	2	2	3	3	2	2	2	36	14	22	24	78	86
1431698	1431698	1431108	1431108	-	pinR	b1374	Rac prophage; predicted site-specific recombinase	1	1	1	2	1	0	0	2	1	1	42	13	27	16	43	50
1432347	1432248	1432015	1431731	-	ynaE	b1375	"cold shock protein, function unknown, Rac prophage"	1	0	0	1	0	0	0	0	0	3	29	9	17	11	40	47
1433657	1433643	1433209	1433194	-	uspF	b1376	"stress-induced protein, ATP-binding protein"	11	15	13	9	11	12	25	14	17	15	200	96	305	104	110	158
1434923	1434917	1433784	1433772	-	ompN	b1377	"outer membrane pore protein N, non-specific"	1	1	1	4	5	0	1	2	0	0	34	7	21	14	43	50
1435145			1435253	+	micC	b4427	-	0	0	0	0	0	0	0	0	0	0	6	2	8	4	24	31
1438827	1438808	1435284	1435284	-	ydbK	b1378	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein	64	64	100	324	366	91	54	279	64	51	52	87	64	80	75	49
1439082	1439082	1439348	1439354	+	ydbJ	b4529	"predicted lipoprotein, DUF333 family"	45	41	42	42	43	59	45	50	69	44	141	155	191	73	100	113
1439767	1439767	1439345	1439318	-	hslJ	b1379	heat-inducible lipoprotein involved in novobiocin resistance	62	59	73	55	108	73	92	79	62	86	58	115	47	107	105	60
1440867	1440867	1439878	1439824	-	ldhA	b1380	"fermentative D-lactate dehydrogenase, NAD-dependent"	76	76	53	29	37	210	75	24	129	65	50	63	47	45	52	56
1441027	1441075	1443714		+	ydbH	b1381	predicted protein	27	25	29	32	35	27	26	32	25	30	34	26	27	29	48	51
	1443711	1443896	1443901	+	ynbE	b1382	lipoprotein	54	51	38	52	64	44	40	56	38	38	61	61	58	68	92	101
1443902	1443904	1444230	1444230	+	ydbL	b1383	conserved protein	41	37	30	43	40	31	25	36	31	30	87	33	72	31	79	88
1445327	1445307	1444402	1444402	-	feaR	b1384	DNA-binding transcriptional activator for tynA and feaB	5	7	4	6	6	4	20	8	16	21	189	18	134	37	54	142
1445543	1445543	1447042	1447145	+	feaB	b1385	phenylacetaldehyde dehydrogenase	6	6	4	7	7	5	4	5	7	5	38	14	39	23	49	52
1449373	1449373	1447100	1447089	-	tynA	b1386	"tyramine oxidase, copper-requiring"	1	1	1	0	1	2	1	1	1	1	29	7	23	14	44	48
1451707	1451666	1449621	1449621	-	paaZ	b1387	"fused oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"	0	0	0	0	0	0	0	0	0	0	21	2	19	8	37	46
1451951	1451951	1452880	1452885	+	paaA	b1388	"ring 1,2-phenylacetyl-CoA epoxidase subunit"	0	0	0	0	1	0	2	0	0	0	36	4	28	14	52	52
1452892	1452892	1453179	1453187	+	paaB	b1389	"ring 1,2-phenylacetyl-CoA epoxidase possible subunit, not required for in vitro activity"	0	1	0	0	1	2	1	0	1	1	30	6	41	15	42	48
1453188	1453188	1453934	1453937	+	paaC	b1390	"ring 1,2-phenylacetyl-CoA epoxidase subunit"	1	1	2	0	1	1	2	1	0	1	31	8	29	15	55	60
1453949	1453949	1454446	1454450	+	paaD	b1391	"ring 1,2-phenylacetyl-CoA epoxidase subunit"	0	0	0	0	0	0	0	0	0	0	21	3	17	11	36	39
1454454	1454454	1455524		+	paaE	b1392	"ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component"	0	0	0	0	0	1	1	1	1	1	20	4	18	12	28	33
	1455521	1456288		+	paaF	b1393	"2,3-dehydroadipyl-CoA hydratase"	0	0	0	0	0	1	3	0	0	0	24	7	22	9	41	44
	1456288	1457076		+	paaG	b1394	"1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming"	0	0	0	0	0	1	1	0	0	0	19	4	18	8	33	36
1457078	1457078	1458505		+	paaH	b1395	"3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent"	1	1	1	1	1	1	2	1	1	1	27	4	24	10	45	46
	1458495	1458917		+	paaI	b1396	"thioesterase, most active with ring-hydroxylated phenylacetyl-coenzyme A thioesters"	0	0	0	0	1	4	2	1	2	1	6	4	8	2	16	23
	1458917	1460122		+	paaJ	b1397	"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase"	3	4	2	2	3	4	5	3	4	6	27	9	25	11	25	31
1460149	1460149	1461462	1461532	+	paaK	b1398	phenylacetyl-CoA ligase	3	3	2	4	3	3	6	3	4	4	35	12	43	14	40	45
1461556	1461563	1462513		+	paaX	b1399	"DNA-binding transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer"	49	45	40	42	47	47	39	44	45	42	112	74	130	77	130	121
	1462495	1463085	1463515	+	paaY	b1400	predicted hexapeptide repeat acetyltransferase	31	31	29	23	27	33	27	26	33	36	52	49	61	35	71	61
	1463254	1463189		-	ynbG	b4674	expressed protein	0	0	0	0	0	0	0	0	0	0	9	0	1	6	15	18
	1466850	1465945	1465939	-	insD	b1402	IS2 transposase TnpB	11	11	14	13	13	17	10	13	13	10	38	26	32	34	50	51
1467322	1467173	1466808		-	insC	b1403	IS2 repressor TnpA	16	16	16	17	21	22	11	24	19	12	47	33	43	40	52	48
1467305	1467382	1468533	1468771	+	insI	b1404	IS30 transposase	15	15	16	18	26	16	10	19	12	10	70	31	50	44	92	92
1472101	1472245	1473105	1473105	+	ydbC	b1406	"predicted oxidoreductase, NAD(P)-binding"	4	4	3	4	3	8	5	3	6	5	39	32	66	35	51	55
1473106	1473168	1475474	1475474	+	ydbD	b1407	predicted PF10971 family periplasmic methylglyoxal resistance protein	1	1	2	1	1	1	1	1	0	1	38	9	29	19	60	70
1475599	1475645	1476250		+	ynbA	b1408	inner membrane protein	0	0	0	0	0	0	0	0	0	0	24	1	13	14	40	53
	1476250	1477146	1477146	+	ynbB	b1409	predicted CDP-diglyceride synthase	0	0	0	0	0	0	0	0	0	0	52	9	46	24	67	77
1477162	1477162	1478919	1478926	+	ynbC	b1410	predicted hydrolase	2	3	3	2	3	3	1	3	2	2	29	9	21	16	47	56
1478927	1478933	1480225	1480225	+	ynbD	b1411	predicted phosphatase inner membrane protein	2	3	3	3	1	2	3	2	2	2	55	12	55	27	98	108
1480887	1480884	1480279	1480279	-	azoR	b1412	"NADH-azoreductase, FMN-dependent"	37	28	26	30	71	77	30	46	51	42	71	78	78	63	83	75
1481059	1481085	1484987	1484987	+	hrpA	b1413	predicted ATP-dependent helicase	49	51	47	40	40	41	44	34	34	37	44	48	40	51	57	50
1485237	1485259	1486059	1486059	+	ydcF	b1414	"conserved SAM-binding protein, DUF218 superfamily"	32	34	38	39	51	37	38	50	45	36	108	102	77	116	114	94
1486075	1486256	1487695	1487859	+	aldA	b1415	"aldehyde dehydrogenase A, NAD-linked"	46	59	32	62	19	14	156	30	84	145	501	21	962	34	74	233
1488911	1488926	1489456	1489487	+	cybB	b1418	cytochrome b561	260	262	400	313	570	225	186	470	222	235	385	359	308	543	346	332
1489530			1489467	-	rydC	b4597	-	15	13	17	18	9	3	10	11	4	11	89	19	41	44	99	112
1489692	1489701	1489874	1489897	+	ydcA	b1419	predicted protein	137	120	125	113	139	78	107	130	58	110	154	116	101	114	120	148
	1490095	1489946	1489932	-	hokB	b4428	"toxic polypeptide, small"	29	33	27	22	13	67	71	28	49	88	724	574	380	579	463	485
1490218	1490153	1489986		-	mokB	b1420	regulatory peptide	31	34	31	23	16	70	83	31	56	94	835	628	457	659	531	522
1490143			1490198	+	sokB	b4429	-	5	3	10	6	4	0	6	10	0	5	17	4	6	16	39	46
1490494	1490494	1492134	1492145	+	trg	b1421	"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor"	4	3	4	3	3	3	4	4	3	4	39	19	39	23	52	59
1493104	1493095	1492172	1492151	-	ydcI	b1422	predicted DNA-binding transcriptional regulator	72	76	26	43	64	24	92	48	56	106	199	135	145	142	136	162
1493301	1493312	1494655	1494737	+	ydcJ	b1423	predicted metalloenzyme	2	2	1	2	5	5	1	4	5	4	165	32	140	45	84	131
1494880	1494880	1496535	1496535	+	opgD	b1424	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	49	51	44	35	38	65	47	40	62	55	82	63	64	66	61	79
1496661	1496675	1496899	1496899	+	ydcH	b1426	predicted protein	45	55	31	26	26	36	56	40	91	64	877	56	811	83	184	577
1496900	1496962	1497501	1497501	+	rimL	b1427	ribosomal-protein-L7/L12-serine acetyltransferase	37	36	28	35	66	62	39	56	54	45	125	139	101	126	128	104
1498486	1498473	1497493	1497493	-	ydcK	b1428	predicted enzyme	2	3	4	6	13	14	1	7	10	4	73	103	64	103	101	63
1498338	1498597	1499589		+	tehA	b1429	potassium-tellurite ethidium and proflavin transporter	23	23	28	21	20	22	22	18	21	24	62	37	48	44	74	76
	1499586	1500179	1500309	+	tehB	b1430	"tellurite resistance protein, SAM-dependent; predicted S-adenosyl-L-methionine-dependent methyltransferase"	136	129	150	129	180	117	96	163	111	128	161	252	154	295	227	166
1500471	1500481	1501149	1501219	+	ydcL	b1431	lipoprotein	65	70	67	65	103	64	46	87	63	60	651	1027	549	1010	854	372
1501723	1501741	1502889	1502889	+	insQ	b1432	IS609 transposase B	18	18	15	20	29	40	16	27	28	21	50	53	39	65	55	51
1504104	1504104	1502929	1502910	-	ydcO	b1433	"inner membrane protein, predicted transporter, function unknown"	1	2	3	3	3	2	4	3	2	3	41	10	45	25	51	63
1504180	1504196	1504732	1504732	+	ydcN	b1434	predicted DNA-binding transcriptional regulator	18	18	24	20	13	14	11	18	10	17	36	12	42	21	40	46
1504795	1504805	1506766	1507234	+	ydcP	b1435	predicted peptidase	89	91	74	60	37	40	93	42	57	91	42	30	38	24	32	41
1507101	1507088	1506858	1506858	-	yncJ	b1436	predicted protein	4	3	3	3	4	2	1	1	5	4	30	10	24	21	45	51
1507298	1507310	1507486	1507486	+	hicA	b4532	mRNA interferase toxin of the HicAB toxin-antitoxin system	31	29	60	56	67	53	47	68	54	43	90	92	86	77	91	69
1507530	1507532	1507948	1507948	+	hicB	b1438	antitoxin for the HicAB toxin-antitoxin system; mutational suppressor of null rpoE lethality	32	34	29	36	51	41	17	46	30	25	60	76	58	65	76	76
1507989	1508027	1509433	1509488	+	ydcR	b1439	fused predicted DNA-binding transcriptional regulator/predicted amino transferase	27	25	29	25	28	16	18	28	20	24	44	24	35	29	45	50
1509647	1509678	1510823	1510823	+	ydcS	b1440	"polyhydroxybutyrate (PHB) synthase, ABC transporter periplasmic binding protein homolog"	2	2	1	1	1	2	1	2	2	1	209	37	206	42	48	114
1510824	1510841	1511854		+	ydcT	b1441	predicted spermidine/putrescine transporter subunit	0	0	0	0	0	0	0	0	1	1	73	12	76	13	33	50
	1511855	1512796		+	ydcU	b1442	predicted spermidine/putrescine transporter subunit	1	1	1	1	1	1	0	1	1	1	49	9	52	16	40	54
	1512786	1513580	1513580	+	ydcV	b1443	predicted spermidine/putrescine transporter subunit	2	2	1	2	2	8	2	1	4	1	97	26	132	21	53	76
1513581	1513602	1515026	1515047	+	prr	b1444	gamma-aminobutyraldehyde dehydrogenase	5	5	3	4	6	12	4	4	11	3	108	42	167	42	64	86
1515225	1515218	1515123	1515049	-	yncL	b4598	hypothetical protein	132	112	82	107	179	266	77	197	242	99	883	1755	671	1284	1598	1241
1515399	1515413	1515586	1515619	+	ydcX	b1445	"conserved protein, DUF2566 family"	75	83	180	104	69	44	67	103	40	85	49	54	57	88	58	75
1515656	1515672	1515905	1515916	+	ydcY	b1446	predicted protein	903	873	1130	1059	1568	1001	528	1459	918	661	659	1224	636	1562	936	592
	1516355	1515906	1515906	-	ydcZ	b1447	"inner membrane protein, DUF606 family"	17	17	13	16	17	26	16	20	27	23	54	67	54	70	88	93
1516878	1516870	1516352		-	yncA	b1448	predicted acyltransferase with acyl-CoA N-acyltransferase domain	31	29	26	30	44	61	32	36	50	36	150	196	112	196	160	126
1517051	1517051	1518088	1518088	+	curA	b1449	"curcumin/dihydrocurcumin reductase, NADPH-dependent"	1	1	2	3	4	6	2	3	5	2	58	76	43	54	62	67
1518248	1518286	1518951	1518951	+	mcbR	b1450	"colanic acid and biofilm gene transcriptional regulator, MqsR-controlled"	4	4	9	11	28	9	3	17	7	6	106	195	61	165	133	66
1521174	1521089	1518987	1518912	-	yncD	b1451	predicted iron outer membrane transporter	52	50	88	87	95	22	33	80	25	33	33	14	30	20	34	40
1521330	1521331	1522392	1522392	+	yncE	b1452	"ATP-binding protein, periplasmic, function unknown"	85	74	172	248	290	213	321	268	251	328	112	132	122	105	58	84
1524004	1524004	1522505	1522505	-	ansP	b1453	L-asparagine transporter	55	48	85	28	14	10	50	22	12	53	39	15	28	27	45	55
1524271	1524271	1524888	1524906	+	yncG	b1454	glutathione S-transferase homolog	1	1	2	2	4	4	0	3	2	1	33	52	35	49	69	60
1524964	1524964	1525176	1525184	+	yncH	b1455	conserved protein	0	0	0	0	0	0	0	0	0	0	34	4	22	16	50	66
1527760	1527946	1528428	1528428	+	ydcD	b1457	predicted protein	3	4	6	3	5	5	1	3	4	8	37	4	22	15	43	48
1529799	1529840	1530976	1530977	+	ydcC	b1460	conserved protein	1	1	1	1	2	0	1	1	0	2	40	8	25	15	44	58
1531063	1531076	1531309	1531309	+	pptA	b1461	4-oxalocrotonate tautomerase	13	13	27	27	35	18	4	44	13	11	78	80	65	79	84	65
1531875	1531875	1531306	1531306	-	yddH	b1462	conserved protein	0	0	1	1	0	2	1	0	1	1	26	22	36	16	35	36
1532028	1532048	1532893	1532897	+	nhoA	b1463	N-hydroxyarylamine O-acetyltransferase	1	1	2	4	5	4	1	3	5	2	36	10	39	19	50	59
1533902	1533882	1532989	1532989	-	yddE	b1464	"conserved predicted enzyme, PhzC-PhzF family"	25	22	26	24	32	55	21	26	35	23	40	37	43	34	43	43
	1534641	1533961	1533939	-	narV	b1465	"nitrate reductase 2 (NRZ), gamma subunit"	1	1	0	1	1	3	2	1	2	2	18	18	19	19	42	38
	1535333	1534638		-	narW	b1466	"nitrate reductase 2 (NRZ), delta subunit (assembly subunit)"	1	1	1	1	2	2	0	1	1	0	22	24	19	26	46	38
	1536877	1535333		-	narY	b1467	"nitrate reductase 2 (NRZ), beta subunit"	1	1	1	1	1	2	0	1	2	1	27	23	22	26	50	40
	1540614	1536874		-	narZ	b1468	"nitrate reductase 2 (NRZ), alpha subunit"	0	0	0	1	1	1	0	1	1	1	26	32	23	32	42	27
1542111	1542084	1540696	1540654	-	narU	b1469	nitrate/nitrite transporter	0	0	0	0	0	0	0	1	0	0	22	29	26	37	59	50
1542966	1542743	1542408	1542408	-	yddJ	b1470	predicted protein	0	0	0	0	0	0	0	0	0	0	41	4	31	19	55	65
1545193	1545193	1544312	1544312	-	yddG	b1473	aromatic amino acid exporter	19	18	32	25	39	28	20	36	31	22	48	35	41	39	52	62
	1545425	1548472	1548472	+	fdnG	b1474	"formate dehydrogenase-N, alpha subunit, nitrate-inducible"	1	0	2	1	2	1	1	2	0	0	20	7	16	9	29	31
1548473	1548485	1549369		+	fdnH	b1475	"formate dehydrogenase-N, Fe-S (beta) subunit, nitrate-inducible"	2	2	2	2	3	2	3	2	1	1	22	4	11	10	29	33
	1549362	1550015	1550015	+	fdnI	b1476	"formate dehydrogenase-N, cytochrome B556 (gamma) subunit, nitrate-inducible"	13	15	24	17	23	21	23	19	21	25	38	27	30	30	69	75
1550728	1550706	1550422	1550395	-	yddM	b1477	predicted DNA-binding transcriptional regulator	23	25	16	16	18	13	25	17	22	13	43	55	36	62	55	38
1551888	1551862	1550852	1550852	-	adhP	b1478	ethanol-active dehydrogenase/acetaldehyde-active reductase	8	8	14	19	22	27	8	19	22	8	160	440	225	350	308	137
1553728	1553693	1551996	1551979	-	maeA	b1479	"malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)"	83	88	127	174	178	84	100	183	82	97	106	111	118	123	77	94
1554053	1553987	1553850	1553850	-	sra	b1480	Stationary-phase-induced ribosome-associated protein	29	32	19	70	171	241	27	140	219	39	2764	6200	1905	6283	5858	1953
1554072			1554054	-	-	predicted RNA	-	35	30	43	89	107	156	25	186	106	21	2521	3719	1426	3636	4047	1273
1553871			1554029	+	-	predicted RNA	antisense: sra	7	8	10	47	50	86	18	31	61	16	2390	5672	2169	4899	7195	1805
1554400	1554304	1554089	1554073	-	bdm	b1481	biofilm-dependent modulation protein	1	0	5	15	36	15	0	20	4	2	96	204	63	193	170	83
1554629	1554649	1555080	1555108	+	osmC	b1482	"Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin"	29	31	50	125	231	208	27	185	146	34	568	1521	513	1120	1393	384
	1556062	1555136	1555050	-	ddpF	b1483	"D,D-dipeptide permease system, ATP-binding component"	0	0	1	0	1	1	1	1	0	1	28	7	15	10	35	44
	1557041	1556055		-	ddpD	b1484	"D,D-dipeptide permease system, ATP-binding component"	0	1	0	1	1	1	1	1	0	0	26	5	25	9	26	32
	1557934	1557038		-	ddpC	b1485	D-ala-D-ala transporter subunit	1	2	2	2	3	3	2	2	4	2	41	12	52	21	72	82
1558954	1558953	1557931		-	ddpB	b1486	D-ala-D-ala transporter subunit	0	0	1	0	1	0	1	0	1	1	26	9	36	15	39	49
1560505	1560505	1558955	1558955	-	ddpA	b1487	D-ala-D-a la transporter subunit	0	0	0	1	2	1	1	1	1	1	78	10	70	20	54	69
1561102	1561100	1560519	1560506	-	ddpX	b1488	"D-ala-D-ala dipeptidase, Zn-dependent"	0	0	0	1	0	1	1	1	1	1	79	13	81	33	77	112
1563772	1563757	1561358	1561300	-	dosP	b1489	"oxygen sensor, c-di-GMP phosphodiesterase, heme-regulated; cold- and stationary phase-induced bioflim regulator"	0	1	0	1	1	1	1	1	1	0	35	35	34	40	48	42
1565223	1565164	1563782	1563782	-	dosC	b1490	diguanylate cyclase; cold- and stationary phase-induced oxygen-dependent biofilm regulator; positively regulates csgBAC and pgaABCD	2	2	4	3	4	5	2	3	5	3	109	223	110	230	190	102
1566854	1566847	1565528	1565424	-	yddW	b1491	"liprotein, glycosyl hydrolase homolog"	29	30	26	25	33	38	24	31	31	23	56	34	50	36	66	71
1568596	1568513	1566978	1566956	-	gadC	b1492	predicted glutamate:gamma-aminobutyric acid antiporter	1	1	2	4	3	38	4	4	22	4	192	1159	160	647	497	133
1568642			1568612	-	-	predicted RNA	-	1	1	1	3	3	70	1	3	20	0	112	1155	121	808	533	84
1567101			1567149	+	-	predicted RNA	antisense: gadC	4	3	2	2	2	6	6	3	7	0	181	874	126	358	459	131
1570069	1570069	1568669	1568643	-	gadB	b1493	"glutamate decarboxylase B, PLP-dependent"	0	0	1	2	5	45	2	4	25	1	196	1306	130	1053	687	114
1573226	1573226	1570431	1570431	-	pqqL	b1494	predicted peptidase	7	7	21	30	25	12	34	21	16	32	43	20	34	28	43	51
1575643	1575643	1573271	1573227	-	yddB	b1495	predicted porin protein	6	5	23	37	42	13	37	30	18	38	44	25	33	34	45	56
1577366	1577366	1575681	1575644	-	yddA	b1496	fused predicted multidrug transporter subunits of ABC superfamily: membrane component/ATP-binding component	5	4	24	28	31	10	35	24	13	39	40	16	33	33	59	77
1578847	1578814	1577657	1577657	-	ydeM	b1497	conserved protein	0	1	1	3	1	1	2	3	1	1	21	6	16	11	27	33
1580548	1580548	1578866	1578849	-	ydeN	b1498	conserved protein	2	2	4	4	3	1	6	5	3	4	82	11	63	21	60	84
1581711	1581711	1580950	1580950	-	ydeO	b1499	transcriptional activator for mdtEF	1	1	1	0	1	1	2	1	3	2	49	11	34	24	68	90
	1581983	1581786		-	safA	b1500	"Two component system connector membrane protein, EvgSA to PhoQP"	0	0	1	0	0	0	0	0	0	0	11	5	7	10	16	20
1584648	1584510	1582231	1582036	-	ydeP	b1501	predicted oxidoreductase	2	2	2	1	1	1	2	1	2	2	27	7	22	12	34	41
1585758	1585758	1584844	1584844	-	ydeQ	b1502	predicted fimbrial-like adhesin protein	0	0	1	0	1	1	1	1	0	0	32	5	17	12	35	42
1586320	1586320	1585817	1585759	-	ydeR	b1503	predicted fimbrial-like adhesin protein	1	1	2	1	2	0	1	1	0	1	56	7	33	15	57	66
1586863	1586863	1586333	1586331	-	ydeS	b1504	predicted fimbrial-like adhesin protein	1	1	2	2	1	0	0	2	0	0	30	4	21	14	48	58
	1590200	1588878	1588488	-	hipA	b1507	serine protein kinase required for perister formation; toxin of HipAB toxin-antitoxin system	26	25	24	25	19	19	21	16	19	24	47	28	45	29	54	56
1590469	1590466	1590200		-	hipB	b1508	antitoxin of HipAB toxin-antitoxin system	48	54	54	47	59	43	42	41	39	35	71	61	77	70	93	78
1598311	1598233	1596641	1596624	-	lsrK	b1511	autoinducer-2 (AI-2) kinase	3	3	3	5	4	6	4	4	5	3	47	13	42	19	45	52
1599265	1599265	1598312	1598312	-	lsrR	b1512	lsr operon transcriptional repressor	5	7	7	7	3	6	9	3	7	7	32	7	27	13	30	38
1599493	1599514	1601049		+	lsrA	b1513	Autoinducer 2 import ATP-binding protein	0	0	0	0	0	0	0	0	1	0	30	4	29	9	29	34
	1601043	1602071		+	lsrC	b1514	Autoinducer 2 import system permease protein	0	0	0	0	0	1	0	0	2	1	18	4	17	7	28	31
	1602071	1603063	1603063	+	lsrD	b1515	autoinducer 2 import system permease protein	0	0	0	0	0	1	0	1	0	0	23	6	23	11	41	49
1603075	1603075	1604097	1604097	+	lsrB	b1516	autoinducer 2-binding protein	0	1	1	1	1	2	2	1	1	1	39	10	38	17	42	47
1604124	1604124	1604999	1604999	+	lsrF	b1517	putative autoinducer-2 (AI-2) aldolase	2	2	2	2	1	3	3	1	3	4	37	7	39	11	40	45
1605010	1605023	1605313	1605333	+	lsrG	b1518	autoinducer-2 (AI-2) degrading protein LsrG	7	5	4	5	9	11	5	3	5	7	53	32	68	40	65	66
1605353	1605370	1606128	1606327	+	tam	b1519	trans-aconitate methyltransferase	3	4	7	11	18	12	5	17	9	4	147	214	110	253	208	132
1607051	1607046	1606132	1606079	-	yneE	b1520	"predicted inner membrane protein, bestrophin family"	21	19	31	24	56	37	8	34	18	12	74	71	59	91	111	95
	1608704	1607253		-	uxaB	b1521	"altronate oxidoreductase, NAD-dependent"	2	3	3	2	1	2	4	2	2	3	23	9	18	14	29	31
1609915	1609878	1608931	1608915	-	yneF	b1522	predicted diguanylate cyclase	6	6	6	6	5	9	7	5	5	7	29	8	24	20	42	46
	1610349	1609990	1609968	-	yneG	b1523	conserved protein	17	17	24	17	10	13	25	10	14	19	14	6	18	10	24	29
1611275	1611275	1610349		-	yneH	b1524	glutaminase	42	40	42	38	22	32	42	23	40	45	41	21	44	24	46	52
1612727	1612727	1611339	1611276	-	sad	b1525	"succinate semialdehyde dehydrogenase, NAD(P)+-dependent"	16	16	11	12	10	20	14	8	22	14	28	12	41	19	54	59
1612722	1612828	1613709	1613744	+	yneJ	b1526	predicted DNA-binding transcriptional regulator	14	13	14	12	14	14	17	16	15	16	44	30	33	40	53	55
1613767	1613787	1614902	1614902	+	yneK	b1527	predicted protein	0	0	1	0	2	1	0	0	3	0	69	8	56	33	88	100
1615049	1615052	1616242	1616272	+	ydeA	b1528	predicted arabinose transporter	27	22	26	28	35	65	11	20	43	13	42	25	40	32	59	67
1616977	1616932	1616267	1616246	-	marC	b1529	"inner membrane protein, UPF0056 family"	59	52	131	108	182	154	87	164	124	101	260	407	191	490	347	191
1617144	1617144	1617578	1617597	+	marR	b1530	DNA-binding transcriptional repressor of multiple antibiotic resistance	68	71	202	102	116	49	86	113	49	94	97	64	69	61	80	91
1617598	1617598	1617981	1617981	+	marA	b1531	DNA-binding transcriptional dual activator of multiple antibiotic resistance	99	100	273	184	243	69	107	215	68	94	76	85	60	74	50	73
1617982	1618013	1618231	1618414	+	marB	b1532	predicted protein	13	13	38	20	22	5	19	18	7	8	45	15	34	38	58	59
1619161	1619161	1618262	1618258	-	eamA	b1533	cysteine and O-acetyl-L-serine efflux system	18	18	13	12	16	15	12	14	14	14	67	37	76	42	80	93
1619316	1619356	1620543	1620560	+	ydeE	b1534	predicted transporter	7	7	9	9	10	5	7	10	8	11	36	17	26	25	50	52
1620655	1620670	1620765	1620768	+	yneM	b4599	"expressed protein, membrane-associated"	87	93	162	167	110	26	42	183	34	51	72	151	95	162	131	112
1620938			1620841	-	mgrR	b4698	-	2	2	3	0	3	0	0	0	0	0	9	4	12	13	16	27
1621891	1621874	1620984	1620984	-	ydeH	b1535	"diguanylate cyclase, required for pgaD induction"	8	8	14	13	15	18	13	14	14	12	42	24	35	33	56	67
1622531	1622521	1622129	1622129	-	ydeI	b1536	conserved protein	1	1	2	3	3	3	5	5	2	3	115	308	76	227	226	77
1622785	1622797	1623315	1623315	+	ydeJ	b1537	conserved protein	2	2	2	2	5	1	2	3	1	1	47	85	31	82	94	56
