Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression CV104_pHDB3_5	Expression CV104_pHDB3_10	Expression CV104_pHDB3_20	Expression CV104_pLCV1_5	Expression CV104_pLCV1_10	Expression CV104_pLCV1_20
	1101764	1101375		-	csgE	b1039	curlin secretion specificity factor	12	12	5	15	12	3
	1102419	1101769		-	csgD	b1040	DNA-binding transcriptional activator for csgBA	13	23	11	26	22	9
	1103174	1103629		+	csgB	b1041	"curlin nucleator protein, minor subunit in curli complex"	2	2	1	2	5	2
	1103670	1104125		+	csgA	b1042	"curlin subunit, amyloid curli fibers, cryptic"	6	6	8	13	12	6
	1104184	1104516		+	csgC	b1043	curli assembly protein	3	3	2	9	1	1
	1104637	1104948		+	ymdA	b1044	predicted protein	6	9	4	14	9	9
	1105043	1105576		+	ymdB	b1045	O-acetyl-ADP-ribose deacetylase; RNase III inhibitor during cold shock	9	15	12	14	14	11
	1105578	1106999		+	ymdC	b1046	predicted hydrolase	9	10	12	14	12	10
	1108164	1107007		-	opgC	b1047	membrane protein required for succinylation of osmoregulated periplasmic glucans (OPGs)	38	36	43	37	47	39
1108555	1108558	1110093		+	opgG	b1048	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	364	346	406	347	353	344
	1110086	1112629	1112629	+	opgH	b1049	membrane glycosyltransferase	202	204	207	194	189	198
	1112802	1113029		+	yceK	b1050	"lipoprotein, DUF1375 family"	40	64	71	46	63	70
	1113404	1113030		-	msyB	b1051	multicopy suppressor of secY and secA	54	96	108	88	104	103
	1114713	1113487		-	mdtG	b1053	predicted drug efflux system	4	5	4	8	4	5
	1115805	1114885		-	lpxL	b1054	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	71	78	78	70	69	72
	1116030	1117082	1117082	+	yceA	b1055	predicted rhodanese-related sulfurtransferase	208	205	240	214	209	231
	1117699	1117124		-	yceI	b1056	secreted protein	28	35	36	30	46	35
	1118269	1117703		-	yceJ	b1057	predicted cytochrome b561	6	6	8	9	7	7
	1118670	1118530		-	yceO	b1058	predicted protein	0	5	3	5	3	1
	1119809	1118691		-	solA	b1059	"N-methyltryptophan oxidase, FAD-binding"	66	60	58	59	59	50
	1120178	1119924	1119924	-	bssS	b1060	biofilm regulator	231	176	155	219	166	148
	1120710	1120465		-	dinI	b1061	DNA damage-inducible protein I	102	102	127	92	91	90
1121830	1121830	1120784	1120711	-	pyrC	b1062	dihydro-orotase	253	225	266	264	226	240
	1122496	1121936		-	yceB	b1063	"lipoprotein, DUF1439 family"	56	48	58	57	60	47
	1123277	1122630		-	grxB	b1064	glutaredoxin 2 (Grx2)	47	49	45	55	55	54
	1124549	1123341		-	mdtH	b1065	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin	4	4	2	5	3	3
	1124785	1125369		+	rimJ	b1066	ribosomal-protein-S5-alanine N-acetyltransferase	100	97	86	114	98	85
	1125380	1126027		+	yceH	b1067	"conserved protein, UPF0502 family"	106	99	89	113	98	91
	1126029	1126952		+	yceM	b1068	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	48	57	40	44	48	47
	1127062	1128597		+	murJ	b1069	probable peptidoglycan lipid II flippase required for murein synthesis	61	63	66	64	66	66
	1129053	1128637		-	flgN	b1070	export chaperone for FlgK and FlgL	15	21	13	22	17	19
	1129351	1129058		-	flgM	b1071	anti-sigma factor for FliA (sigma 28)	20	29	31	71	25	32
	1130086	1129427		-	flgA	b1072	assembly protein for flagellar basal-body periplasmic P ring	13	10	12	13	8	12
	1130241	1130657		+	flgB	b1073	flagellar component of cell-proximal portion of basal-body rod	17	17	17	24	18	28
	1130661	1131065		+	flgC	b1074	flagellar component of cell-proximal portion of basal-body rod	21	22	25	20	18	25
	1131077	1131772		+	flgD	b1075	flagellar hook assembly protein	21	21	21	22	25	29
	1131797	1133005		+	flgE	b1076	flagellar hook protein	23	27	25	29	28	32
	1133025	1133780		+	flgF	b1077	flagellar component of cell-proximal portion of basal-body rod	16	16	17	18	15	21
	1133952	1134734		+	flgG	b1078	flagellar component of cell-distal portion of basal-body rod	14	17	15	15	12	21
	1134787	1135485		+	flgH	b1079	flagellar protein of basal-body outer-membrane L ring	7	6	8	6	6	9
	1135497	1136594		+	flgI	b1080	predicted flagellar basal body protein	6	6	4	7	5	6
	1136594	1137535		+	flgJ	b1081	muramidase	3	4	4	5	4	4
	1137601	1139244		+	flgK	b1082	flagellar hook-filament junction protein 1	5	6	6	8	6	6
	1139256	1140209		+	flgL	b1083	flagellar hook-filament junction protein	9	10	11	11	9	10
	1143590	1140405	1140405	-	rne	b1084	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein	226	227	236	208	210	217
1143725	1143725	1144045	1144045	+	yceQ	b1085	predicted protein	179	185	185	176	180	183
1144163	1144163	1145122	1145122	+	rluC	b1086	"23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580"	226	214	232	201	217	214
	1145818	1145234		-	yceF	b1087	Maf-like protein	69	65	74	78	78	66
1145812			1145980	+	psrD	b4418	-	666	597	739	681	692	696
1145981	1146017	1146538	1146538	+	yceD	b1088	"conserved protein, DUF177 family"	5595	5029	5991	5580	5454	5272
1146539	1146590	1146763	1146840	+	rpmF	b1089	50S ribosomal subunit protein L32	5840	5436	5528	5010	5429	5445
1146843	1146844	1147914	1147914	+	plsX	b1090	probable phosphate acyltransferase	372	357	397	342	360	371
1147915	1147982	1148935	1148935	+	fabH	b1091	3-oxoacyl-[acyl-carrier-protein] synthase III	845	873	851	747	769	822
1148939	1148951	1149880	1149892	+	fabD	b1092	malonyl-CoA-[acyl-carrier-protein] transacylase	1086	1052	1041	1049	957	993
1149893	1149893	1150627	1150753	+	fabG	b1093	3-oxoacyl-[acyl-carrier-protein] reductase	2013	1875	1826	1785	1803	1866
1150770	1150838	1151074	1151074	+	acpP	b1094	acyl carrier protein (ACP)	13327	12028	14069	12528	12747	12556
1151075	1151162	1152403	1152403	+	fabF	b1095	3-oxoacyl-[acyl-carrier-protein] synthase II	1656	1570	1670	1488	1523	1606
	1152523	1153332		+	pabC	b1096	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex	43	43	45	47	43	48
	1153335	1154357		+	yceG	b1097	predicted aminodeoxychorismate lyase	54	54	56	57	53	51
	1154347	1154988		+	tmk	b1098	thymidylate kinase	86	85	85	85	83	77
	1154985	1155989		+	holB	b1099	"DNA polymerase III, delta prime subunit"	66	63	67	57	56	68
	1156000	1156797		+	ycfH	b1100	predicted DNAse	116	122	134	118	118	124
	1157092	1158525		+	ptsG	b1101	fused glucose-specific PTS enzymes: IIB component/IIC component	1696	1522	1625	191	128	122
	1160774	1158585		-	fhuE	b1102	ferric-rhodotorulic acid outer membrane transporter	4	6	6	7	5	4
1161108	1161108	1161467		+	hinT	b1103	"purine nucleoside phosphoramidase, dadA activator protein"	258	259	235	255	281	227
1161470	1161470	1161847	1161847	+	ycfL	b1104	predicted protein	223	228	203	249	264	226
	1161861	1162502		+	lpoB	b1105	outer membrane lipoprotein	146	156	126	162	138	124
	1162483	1163307		+	thiK	b1106	thiamin kinase	39	50	50	48	43	46
	1163318	1164343		+	nagZ	b1107	beta N-acetyl-glucosaminidase	104	107	113	114	99	100
	1164366	1164908	1164908	+	ycfP	b1108	conserved protein	203	208	212	247	237	199
1165308	1165308	1166612	1166612	+	ndh	b1109	respiratory NADH dehydrogenase 2/cupric reductase	654	562	518	607	542	523
	1166822	1167361		+	ycfJ	b1110	predicted protein	17	22	19	20	17	18
	1168055	1167423		-	ycfQ	b1111	repressor for bhsA(ycfR)	39	45	42	47	43	43
	1168296	1168553		+	bhsA	b1112	"biofilm, cell surface and signaling protein"	56	56	53	56	52	36
	1169597	1168635		-	ycfS	b1113	"L,D-transpeptidase linking Lpp to murein"	15	14	17	16	11	13
	1173187	1169741		-	mfd	b1114	transcription-repair coupling factor	72	70	64	71	59	66
	1174388	1173315		-	ycfT	b1115	inner membrane protein	9	14	13	34	12	9
	1174650	1175849		+	lolC	b1116	lipoprotein-releasing system transmembrane protein	58	60	65	61	54	54
	1175842	1176543		+	lolD	b1117	outer membrane-specific lipoprotein transporter subunit	82	85	80	78	82	78
	1176543	1177787		+	lolE	b1118	lipoprotein-releasing system transmembrane protein	77	78	85	68	78	78
	1177816	1178727		+	nagK	b1119	N-acetyl-D-glucosamine kinase	63	69	65	61	63	67
	1178854	1179582		+	cobB	b1120	"deacetylase of acs and cheY, regulates chemotaxis"	83	95	93	75	84	90
	1180490	1179702		-	ycfZ	b1121	inner membrane protein	9	10	12	13	11	10
	1180948	1180487		-	ymfA	b1122	conserved inner membrane protein	16	9	23	20	19	13
	1182052	1181006	1181006	-	potD	b1123	polyamine transporter subunit	693	619	712	737	619	629
	1182843	1182049		-	potC	b1124	polyamine transporter subunit	281	272	304	248	274	267
1183680	1183667	1182840		-	potB	b1125	polyamine transporter subunit	303	288	327	266	291	291
1184827	1184817	1183681	1183681	-	potA	b1126	polyamine transporter subunit	450	439	486	457	445	441
	1185067	1186293		+	pepT	b1127	peptidase T	37	38	35	44	41	37
	1187463	1186342		-	ycfD	b1128	cupin superfamily protein	136	121	126	125	121	133
	1188999	1187539		-	phoQ	b1129	sensory histidine kinase in two-component regulatory system with PhoP	60	66	71	64	65	70
	1189670	1188999		-	phoP	b1130	DNA-binding response regulator in two-component regulatory system with PhoQ	148	161	159	162	174	158
1191212	1191209	1189839	1189839	-	purB	b1131	adenylosuccinate lyase	408	399	464	362	396	431
	1191854	1191213		-	hflD	b1132	predicted lysogenization regulator	174	172	173	157	146	170
1192998	1192996	1191890	1191890	-	mnmA	b1133	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	241	230	242	225	227	246
	1193511	1193050		-	nudJ	b1134	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase	35	43	42	49	38	43
	1194174	1193521		-	rluE	b1135	23S rRNA U2457 pseudouridine synthase	37	38	48	46	37	46
1194259	1194346	1195596	1195597	+	icd	b1136	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"	2088	2179	2528	2041	2300	2483
	1196755	1196090		-	ymfD	b1137	e14 prophage; predicted SAM-dependent methyltransferase	18	26	27	51	31	23
	1197460	1196756		-	ymfE	b1138	e14 prophage; predicted inner membrane protein	8	7	11	16	9	9
	1197918	1198811		+	lit	b1139	"e14 prophage; cell death peptidase, inhibitor of T4 late gene expression"	13	10	15	19	19	12
	1200029	1198902		-	intE	b1140	e14 prophage; predicted integrase	5	5	7	12	8	6
	1200255	1200010		-	xisE	b1141	e14 prophage; predicted excisionase	5	9	4	14	9	6
	1200720	1201061		+	ymfI	b1143	e14 prophage; predicted protein	44	55	51	51	59	32
	1201307	1200999		-	ymfJ	b1144	e14 prophage; predicted protein	21	26	27	31	32	19
	1202156	1201482		-	cohE	b1145	e14 prophage; repressor protein phage e14	88	86	98	84	105	87
	1202247	1202447		+	croE	b1146	e14 prophage; predicted DNA-binding transcriptional regulator	5	3	7	7	7	6
	1202491	1203048		+	ymfL	b1147	e14 prophage; predicted DNA-binding transcriptional regulator	6	6	5	11	8	4
	1203045	1203383		+	ymfM	b1148	e14 prophage; predicted protein	1	1	4	11	0	2
	1204772	1204954		+	ymfR	b1150	e14 prophage; predicted protein	2	0	2	6	1	2
	1206136	1206720		+	ymfQ	b1153	prohage e14 tail protein homolog	0	1	1	4	0	0
	1206724	1207353		+	stfP	b1154	e14 prophage; predicted protein	0	1	1	3	2	2
	1207355	1207768		+	tfaP	b1155	e14 prophage; predicted protein	3	3	4	8	3	3
	1208342	1207740		-	tfaE	b1156	e14 prophage; predicted tail fiber assembly protein	2	4	4	5	3	2
	1208908	1209462		+	pinE	b1158	e14 prophage; site-specific DNA recombinase	3	2	3	7	4	1
	1209569	1210402		+	mcrA	b1159	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	10	11	15	16	17	15
	1211226	1210903		-	iraM	b1160	"RpoS stabilzer during Mg starvation, anti-RssB factor"	5	6	9	10	3	6
	1212330	1211926		-	ycgX	b1161	predicted protein	16	17	25	29	23	15
	1213282	1212551		-	ycgE	b1162	repressor of blue light-responsive genes	48	48	51	51	48	47
	1214698	1213487		-	ycgF	b1163	"anti-repressor for YcgE, blue light-responsive; FAD-binding; has c-di-GMP phosphodiesterase-like EAL domain, but does not degrade c-di-GMP"	4	5	6	12	6	6
	1215012	1215248		+	ycgZ	b1164	connector protein for RcsB regulation of biofilm and acid-resistance	37	57	42	42	85	31
	1215291	1215563		+	ymgA	b1165	connector protein for RcsB regulation of biofilm	27	50	26	30	71	25
	1215592	1215858		+	ariR	b1166	connector protein for RcsB regulation of biofilm and acid-resistance	14	24	23	21	50	19
	1215971	1216219		+	ymgC	b1167	predicted protein	13	20	21	24	34	16
	1216551	1218074		+	ycgG	b1168	predicted cyclic-di-GMP phosphodiesterase	2	3	3	8	2	2
	1218206	1218424		+	ymgF	b4520	inner membrane division septum protein	14	18	21	20	20	15
	1221857	1221528		-	ymgD	b1171	predicted protein	35	35	37	59	35	28
	1222211	1221867		-	ymgG	b1172	"conserved protein, UPF0757 family"	40	34	32	56	39	29
	1222386	1222213		-	ymgI	b4593	hypothetical protein	8	17	10	22	14	9
	1222487	1222672		+	ymgJ	b4594	hypothetical protein	0	3	5	10	2	4
1223771	1223768	1223502	1223502	-	minE	b1174	cell division topological specificity factor	510	480	582	522	549	511
1224600	1224584	1223772	1223772	-	minD	b1175	membrane ATPase of the MinC-MinD-MinE system	467	446	470	453	482	436
	1225303	1224608	1224608	-	minC	b1176	cell division inhibitor	230	224	213	195	216	198
	1225823	1226191		+	ycgJ	b1177	predicted protein	41	45	64	63	61	60
	1226695	1226294		-	pliG	b1178	predicted protein	42	52	93	59	55	53
	1226937	1227230		+	ycgL	b1179	conserved protein	151	148	172	174	172	148
	1227302	1227961		+	ycgM	b1180	predicted isomerase/hydrolase	63	58	65	67	67	58
	1228038	1228499		+	ycgN	b1181	conserved protein	49	40	63	52	48	48
	1229617	1228706		-	hlyE	b1182	hemolysin E	1	2	4	7	4	3
	1229990	1230409		+	umuD	b1183	"DNA polymerase V, subunit D"	9	12	10	18	11	9
	1230409	1231677		+	umuC	b1184	"DNA polymerase V, subunit C"	9	9	8	12	7	9
	1232253	1231723		-	dsbB	b1185	oxidoreductase that catalyzes reoxidation of DsbA protein disulfide isomerase I	132	126	118	103	124	116
	1233940	1232399		-	nhaB	b1186	sodium:proton antiporter	104	114	114	111	120	128
	1234161	1234880		+	fadR	b1187	DNA-binding transcriptional dual regulator of fatty acid metabolism	108	95	100	73	91	98
	1236464	1234932		-	ycgB	b1188	conserved protein	4	6	6	11	7	5
	1236794	1238092		+	dadA	b1189	D-amino acid dehydrogenase	160	211	161	169	205	231
	1238102	1239172		+	dadX	b1190	"alanine racemase 2, PLP-binding"	101	137	103	105	133	153
	1241294	1239558		-	cvrA	b1191	predicted cation/proton antiporter	11	14	14	16	12	12
	1242303	1241389		-	ldcA	b1192	"L,D-carboxypeptidase A"	32	27	28	35	25	32
	1242403	1243014		+	emtA	b1193	lytic murein endotransglycosylase E	116	113	119	113	102	108
	1243750	1243016		-	ycgR	b1194	"flagellar velocity braking protein, c-di-GMP-regulated"	13	14	15	13	13	16
	1243951	1244205		+	ymgE	b1195	predicted inner membrane protein	4	7	5	6	4	4
	1244383	1244823		+	ycgY	b1196	predicted protein	1	2	2	7	5	3
	1246599	1244902		-	treA	b1197	periplasmic trehalase	3	6	4	9	6	5
	1248337	1246919		-	dhaM	b1198	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component	75	76	77	72	86	104
	1248980	1248348		-	dhaL	b1199	"dihydroxyacetone kinase, C-terminal domain"	64	69	54	63	71	89
	1250061	1248991		-	dhaK	b1200	"dihydroxyacetone kinase, PTS-dependent, dihydroxyacetone-binding subunit"	55	55	56	56	63	89
	1250289	1252208		+	dhaR	b1201	DNA-binding transcription activator of the dhaKLM operon	18	20	13	21	19	15
	1255175	1252308		-	ycgV	b1202	predicted adhesin	4	6	5	10	6	5
1257066	1257035	1255944	1255944	-	ychF	b1203	"ATPase, K+-dependent, ribosome-associated"	638	604	682	611	602	607
	1257736	1257152		-	pth	b1204	peptidyl-tRNA hydrolase	148	141	144	140	145	141
	1258014	1258292		+	ychH	b1205	predicted inner membrane protein	13	13	14	15	21	23
	1260026	1258347		-	ychM	b1206	predicted transporter	36	36	40	35	36	46
1261248	1261098	1260151	1260144	-	prs	b1207	phosphoribosylpyrophosphate synthase	1352	1265	1506	1198	1241	1424
	1262100	1261249	1261249	-	ispE	b1208	4-diphosphocytidyl-2-C-methylerythritol kinase	224	215	226	168	222	238
	1262723	1262100		-	lolB	b1209	OM lipoprotein required for localization of lipoproteins	111	113	114	96	105	103
	1262937	1264193		+	hemA	b1210	glutamyl tRNA reductase	72	68	73	66	70	73
	1264235	1265317		+	prfA	b1211	peptide chain release factor RF-1	113	102	118	104	101	108
	1265317	1266150		+	prmC	b1212	"N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2"	59	54	62	65	54	55
	1266147	1266539		+	ychQ	b1213	"predicted inner membrane protein, SIRB family"	80	70	91	97	74	80
	1266543	1267352		+	ychA	b1214	conserved protein	143	137	158	139	166	154
1267353	1267388	1268242	1268291	+	kdsA	b1215	3-deoxy-D-manno-octulosonate 8-phosphate synthase	322	305	342	338	333	323
	1268498	1268391		-	ldrA	b4419	"toxic polypeptide, small"	72	62	55	62	63	79
1268546			1268612	+	rdlA	b4420	-	77	59	53	52	74	64
	1269033	1268926		-	ldrB	b4421	"toxic polypeptide, small"	5	3	4	5	4	3
1269081			1269146	+	rdlB	b4422	-	0	2	3	9	4	1
	1269568	1269461		-	ldrC	b4423	"toxic polypeptide, small"	55	50	50	46	58	53
1269616			1269683	+	rdlC	b4424	-	3	9	2	11	8	6
	1271072	1269972		-	chaA	b1216	calcium/sodium:proton antiporter	46	50	59	53	56	57
	1271342	1271572		+	chaB	b1217	cation transport regulator	8	12	13	11	14	20
	1271730	1272425		+	chaC	b1218	cation transport regulator	17	23	19	19	21	19
	1272822	1272469		-	ychN	b1219	conserved protein	89	91	81	95	99	89
	1273007	1274401		+	ychO	b1220	predicted invasin	11	13	12	15	12	12
	1275052	1274402		-	narL	b1221	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	78	72	75	88	74	71
	1276841	1275045		-	narX	b1222	sensory histidine kinase in two-component regulatory system with NarL	22	26	24	25	22	23
	1277180	1278571		+	narK	b1223	nitrate/nitrite transporter	1	2	1	5	1	1
	1279087	1282830		+	narG	b1224	"nitrate reductase 1, alpha subunit"	4	5	4	11	4	4
	1282827	1284365		+	narH	b1225	"nitrate reductase 1, beta (Fe-S) subunit"	6	6	4	9	4	4
	1284362	1285072		+	narJ	b1226	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	4	5	4	8	5	2
	1285072	1285749		+	narI	b1227	"nitrate reductase 1, gamma (cytochrome b(NR)) subunit"	5	3	4	5	4	4
1286459			1286289	-	rttR	b4425	-	85	73	90	107	73	71
	1286399	1286310		-	tpr	b1229	protamine-like protein	43	44	50	55	38	43
1286551			1286467	-	tyrV	b1230	Tyr tRNA	371	305	347	338	382	338
1286845			1286761	-	tyrT	b1231	Tyr tRNA	668	629	708	478	589	757
1287896	1287847	1287005	1286987	-	purU	b1232	formyltetrahydrofolate hydrolase	300	306	391	330	336	360
	1288355	1287897	1287897	-	ychJ	b1233	"conserved protein, UPF0225 family"	179	163	214	157	193	200
	1288468	1289373		+	rssA	b1234	"predicted phospholipase, patatin-like family"	46	56	65	52	55	54
	1289465	1290478		+	rssB	b1235	response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase	30	36	43	38	36	39
1290635	1290680	1291588	1291588	+	galU	b1236	glucose-1-phosphate uridylyltransferase	633	587	638	584	666	576
1292161	1292145	1291732	1291724	-	hns	b1237	global DNA-binding transcriptional dual regulator H-NS	2960	2858	2872	3044	3202	2669
	1292750	1293367		+	tdk	b1238	thymidine kinase/deoxyuridine kinase	106	95	117	116	115	102
1297344	1297344	1294669	1294657	-	adhE	b1241	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	326	301	304	338	329	325
	1297821	1298468		+	ychE	b1242	predicted inner membrane protein	32	32	40	36	31	32
1298951	1299206	1300837	1300837	+	oppA	b1243	oligopeptide transporter subunit	1988	2308	2735	2159	2678	2591
1300838	1300923	1301843	1301857	+	oppB	b1244	oligopeptide transporter subunit	765	898	1043	772	1009	1005
1301858	1301858	1302766	1302766	+	oppC	b1245	oligopeptide transporter subunit	675	768	895	625	813	882
1302773	1302778	1303791		+	oppD	b1246	oligopeptide transporter subunit	750	833	946	741	825	950
	1303788	1304792	1304792	+	oppF	b1247	oligopeptide transporter subunit	628	696	820	644	721	801
	1305174	1304845		-	yciU	b1248	"conserved protein, UPF0263 family"	119	116	114	129	126	128
	1306669	1305209		-	cls	b1249	cardiolipin synthase 1	67	63	58	62	72	62
	1306812	1306985		+	yciY	b4595	hypothetical protein	83	100	102	87	78	112
	1308293	1307040		-	kch	b1250	voltage-gated potassium channel	20	23	24	27	27	21
	1308889	1308593		-	yciI	b1251	predicted enzyme	94	102	80	109	98	92
	1309113	1309832		+	tonB	b1252	membrane spanning protein in TonB-ExbB-ExbD transport complex	44	47	53	39	42	48
1310270	1310270	1309872	1309872	-	yciA	b1253	"Acyl-CoA esterase, role unknown"	180	171	172	152	163	183
	1310914	1310375		-	yciB	b1254	predicted inner membrane protein	88	83	95	95	80	74
	1311687	1310944		-	yciC	b1255	"inner membrane protein, UPF0259 family"	93	98	106	89	105	93
	1312044	1312682		+	ompW	b1256	outer membrane protein W	80	42	32	91	45	34
	1313248	1312742		-	yciE	b1257	predicted rubrerythrin/ferritin-like metal-binding protein	4	5	9	9	7	6
	1313794	1313294		-	yciF	b1258	predicted rubrerythrin/ferritin-like metal-binding protein	2	7	8	11	5	8
	1314059	1313880		-	yciG	b1259	predicted protein	8	10	15	27	12	14
	1315246	1314440		-	trpA	b1260	"tryptophan synthase, alpha subunit"	36	43	39	42	44	43
	1316439	1315246		-	trpB	b1261	"tryptophan synthase, beta subunit"	45	52	41	49	51	46
	1317809	1316451		-	trpC	b1262	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase	19	22	23	25	24	22
	1319408	1317813		-	trpD	b1263	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	8	10	8	9	9	7
	1320970	1319408		-	trpE	b1264	component I of anthranilate synthase	8	12	10	10	10	10
	1321106	1321062		-	trpL	b1265	trp operon leader peptide	8	10	7	9	10	7
	1321244	1322125		+	yciV	b1266	conserved protein	41	49	38	46	37	44
	1322122	1322742		+	yciO	b1267	predicted RNA binding protein	91	84	90	90	97	91
	1322770	1324665		+	yciQ	b1268	predicted inner membrane protein	9	9	13	14	10	9
1324777	1324876	1325751	1325751	+	rluB	b1269	23S rRNA pseudouridylate synthase	315	319	368	301	310	331
	1326381	1325791		-	btuR	b1270	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	47	41	41	49	41	42
	1327136	1326378		-	yciK	b1271	"predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system"	47	45	40	50	41	43
	1327356	1328405		+	sohB	b1272	predicted inner membrane peptidase; multicopy suppressor of htrA(degP)	155	133	146	153	141	136
	1328692	1328441	1328441	-	yciN	b1273	DUF2498 protein YciN	218	180	189	196	208	208
1328891	1329072	1331669	1331669	+	topA	b1274	"DNA topoisomerase I, omega subunit"	347	340	334	339	326	328
	1331879	1332853		+	cysB	b1275	"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding"	115	127	113	130	135	107
	1333184	1333312		+	ymiA	b4522	hypothetical protein	147	143	164	175	135	154
	1333315	1333482		+	yciX	b4523	hypothetical protein	168	145	187	202	162	177
	1333855	1336530		+	acnA	b1276	aconitate hydratase 1	33	39	45	38	48	47
1337184	1337184	1336594	1336594	-	ribA	b1277	GTP cyclohydrolase II	186	167	204	194	191	186
	1337354	1338118		+	pgpB	b1278	phosphatidylglycerophosphatase B	21	24	29	31	24	18
	1338267	1338575		+	yciS	b1279	inner membrane DUF1049 protein YciS	137	126	129	133	118	121
	1338582	1339751		+	yciM	b1280	TPR-repeats-containing protein	47	45	47	54	45	45
1339931	1339945	1340682		+	pyrF	b1281	orotidine-5'-phosphate decarboxylase	250	225	262	226	229	239
	1340682	1341008	1341008	+	yciH	b1282	"initiation factor function partial mimic, SUI1 family"	200	168	172	195	153	161
	1341352	1341134		-	osmB	b1283	lipoprotein	40	36	38	35	33	43
	1342370	1341621		-	yciT	b1284	global regulator of transcription; DeoR family	80	84	94	81	88	77
	1342633	1342460		-	yciZ	b4596	hypothetical protein	56	49	59	41	57	48
	1344766	1342781		-	gmr	b1285	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	16	20	20	22	23	19
	1344820	1344924		+	ymiB	b4672	expressed protein	4	5	5	11	5	4
1346936	1346936	1345002	1345002	-	rnb	b1286	ribonuclease II	302	306	326	304	291	328
	1348131	1347004		-	yciW	b1287	predicted oxidoreductase	13	14	13	16	15	16
1349107	1349063	1348275	1348274	-	fabI	b1288	"enoyl-[acyl-carrier-protein] reductase, NADH-dependent"	1771	1704	1853	1718	1815	1759
	1349784	1349431		-	ycjD	b1289	conserved protein	12	12	14	15	14	12
	1350658	1349852		-	sapF	b1290	antimicrobial peptide transport ABC system ATP-binding protein	50	47	50	47	49	48
	1351652	1350660		-	sapD	b1291	antimicrobial peptide transport ABC system ATP-binding protein	60	68	67	73	63	68
	1352542	1351652		-	sapC	b1292	antimicrobial peptide transport ABC transporter permease	33	33	35	33	32	35
	1353494	1352529		-	sapB	b1293	antimicrobial peptide transport ABC transporter permease	45	47	48	46	43	48
	1355134	1353491		-	sapA	b1294	antimicrobial peptide transport ABC transporter periplasmic binding protein	49	53	50	53	48	51
	1355692	1355447		-	ymjA	b1295	predicted protein	51	41	46	54	46	51
	1357211	1355826		-	puuP	b1296	putrescine importer	5	7	5	7	5	6
	1358932	1357514		-	puuA	b1297	gamma-Glu-putrescine synthase	16	25	24	23	24	26
	1359144	1359908		+	puuD	b1298	gamma-Glu-GABA hydrolase	23	30	37	28	37	41
	1359935	1360492		+	puuR	b1299	DNA-binding transcriptional repressor for the puu divergon	33	29	38	35	33	44
	1360767	1362254		+	puuC	b1300	"gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent"	3	6	7	5	8	10
	1362256	1363536		+	puuB	b1301	"gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding"	3	6	4	6	4	6
	1363574	1364839		+	puuE	b1302	"GABA aminotransferase, PLP-dependent"	3	5	4	6	5	7
	1365936	1364959		-	pspF	b1303	DNA-binding transcriptional activator	13	11	11	17	14	11
	1366103	1366771		+	pspA	b1304	regulatory protein for phage-shock-protein operon	124	97	85	142	96	77
	1366825	1367049		+	pspB	b1305	DNA-binding transcriptional regulator of psp operon	38	41	45	47	32	33
	1367049	1367408		+	pspC	b1306	DNA-binding transcriptional activator	33	29	31	33	25	33
	1367417	1367638		+	pspD	b1307	peripheral inner membrane phage-shock protein	20	18	19	25	21	13
	1367713	1368027		+	pspE	b1308	thiosulfate:cyanide sulfurtransferase (rhodanese)	74	67	69	79	76	88
	1368240	1369919		+	ycjM	b1309	predicted glucosyltransferase	1	3	3	5	3	2
	1369933	1371225		+	ycjN	b1310	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily	1	2	1	7	2	1
